Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"6""x3"" NHCI San Tee",AB&I FOUNDRY,AB&I00838,6X3 NO HUB SAN TEE
"6""x3"" NHCI San Tee",AB&I FOUNDRY,AB&I02512,4 NO HUB P-TRAP
"6"" NHCI P-Trap",AB&I FOUNDRY,AB&I02514,6 NO HUB P-TRAP
"2"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08530,2 NO HUB TAPPED P-TRAP
"3"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08532,3 NO HUB TAPPED P-TRAP
"4"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08534,4 NO HUB TAPPED P-TRAP
"6"" NHCI P-Trap w/ 1/2"" Primer Tap",CHARLOTTE PIPE & FOUNDRY,1/2INTAPCHARLOTTE13917,6 NO HUB TAPPED P-TRAP
"6"" NHCI Blind Plug",AB&I FOUNDRY,AB&I02490,6 NO HUB BLIND PLUG
"6""x3"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02154,6X3 NO HUB REDUCER
"6""x4"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02156,6X4 NO HUB REDUCER
"8""x6"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02168,8X6 NO HUB REDUCER
"12""x4"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02184,12X4 NO HUB REDUCER
"12""x8"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02188,12X8 NO HUB REDUCER
"6"" NHCI San Tee",AB&I FOUNDRY,AB&I00836,6 NO HUB SAN TEE
"8"" NHCI San Tee",AB&I FOUNDRY,AB&I00850,8 NO HUB SAN TEE
"4"" NHCI Clean Out Tee",AB&I FOUNDRY,AB&I02050,4 NO HUB CLEANOUT TEE
"4"" NHCI Wye",AB&I FOUNDRY,AB&I01324,4 NO HUB WYE
"4""x2"" NHCI Wye",AB&I FOUNDRY,AB&I01320,4X2 NO HUB WYE
"4""x3"" NHCI Wye",AB&I FOUNDRY,AB&I01322,4X3 NO HUB WYE
"6""x4"" NHCI Wye",AB&I FOUNDRY,AB&I01338,6X4 NO HUB WYE
"8"" NHCI Wye",AB&I FOUNDRY,AB&I01354,8 NO HUB WYE
"12"" NHCI Wye",AB&I FOUNDRY,AB&I01372,12 NO HUB WYE
"4""x2"" NHCI Upright Wye",AB&I FOUNDRY,AB&I01652,4X2 NO HUB UPRIGOT WYE
"3"" NHCI Pipe",AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
"4"" NHCI Pipe",AB&I FOUNDRY,***300FT/LIFT***AB&I00162,4X10 NO HUB PIPE
"6"" NHCI Pipe",AB&I FOUNDRY,***210FT/LIFT***AB&I00168,6X10 NO HUB PIPE
"1 1/2"" Type K CU Tube",CAMBRIDGELEE INDUSTRIES,MUELKH14020CAMB,1 1/2X20 K HARD
"3"" Type K CU Tube",CAMBRIDGELEE INDUSTRIES,MUELKH30020CAMB,3X20 K HARD COPPER
"3"" Type L CU Tube",CAMBRIDGELEE INDUSTRIES,MUELLH30020CAMB,3X20 L HARD COPPER
"3"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00608,3 NO HUB 45
"4"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00610,4 NO HUB 45
"3"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00192,3 NO HUB 90
"3"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00464,3 NO HUB SHORT SWEEP CODE
"4"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00468,4 NO HUB SHORT SWEEP CODE
"6"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00472,6 NO HUB SHORT SWEEP CODE
"4"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00682,4 NO HUB 22
"6"" NHCI Combo",AB&I FOUNDRY,AB&I01726,6 NO HUB COMBO
"6""x3"" NHCI Combo",AB&I FOUNDRY,AB&I01720,6X3 NO HUB COMBO
"6""x4"" NHCI Combo",AB&I FOUNDRY,AB&I01722,6X4 NO HUB COMBO
"3"" Husky HD2000 Coupling",ANACO,ANACO2008(48/BOX),3 HD2000 OT HD NH CPLG
"4"" Husky HD2000 Coupling",ANACO,ANACO2010(48/BOX),4 HD2000 OT HD NH CPLG
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 OT HD NH CPLG
"8"" Husky HD2000 Coupling",ANACO,ANACO2016(15/BOX),8 HD2000 OT HD NH CPLG
"1 1/2"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031314MUELW02085,1 1/2 CXC 90
"3"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031338MUELW02088,3 CXC 90
"6"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
"4"" NHCI P-Trap w/ 1/2"" Primer Tap",AB&I FOUNDRY,AB&I08534,4 NO HUB TAPPED P-TRAP
"6"" NHCI P-Trap w/ 1/2"" Primer Tap",CHARLOTTE PIPE & FOUNDRY,1/2INTAPCHARLOTTE13917,6 NO HUB TAPPED P-TRAP
"8""x6"" NHCI Short Reducer",AB&I FOUNDRY,SHORTPATTERNAB&I02168,8X6 NO HUB REDUCER
"6""x4"" NHCI Wye",AB&I FOUNDRY,AB&I01338,6X4 NO HUB WYE
"6"" Type K CU Tube",OTHER MANUFACTURERS,KHARDU20,6 X 20 K HARD COP TUBE
"6"" Type K CU Tube",OTHER MANUFACTURERS,KHARDU20,6 X 20 K HARD COP TUBE
1/2 inch pex rings,UPONOR INC,UPOQ4690512,1/2 PROPEX RING W/STOP BG=50
1/2 inch wisbo brass pex couplings,UPONOR INC,UPOLF4545050,1/2 PEX LF BRS CPLG BG=25
1/2 inch poly pex caps,UPONOR INC,UPOQ4350500,1/2 PEX PLUG BG=25
1/2 inch pex by 1/2 inch brass mip adaptors,UPONOR INC,UPOLF4525050,1/2 PEXXMIP LF ADAPT BG=25
1/2 inch pex by 1/2 inch mip by pex 90's adaptors,UPONOR INC,UPOLF4125050,1/2X1/2 LF PEXXMIP BRS STREET
1/2 inch sleeved pex tubing 400 FEET,UPONOR,UF1091500,1/2X400 PRE SLVED AQUAPEX BLUE
1/2 inch sleeved pex tubing 400 FEET,UPONOR,UF1091500,1/2X400 PRE SLVED AQUAPEX BLUE
A1202HS Gold - 10',SUP,SUPA1202HS10GOLD,"HALF SLOT 1-5/8"" X 1-5/8"" X 3-1/4"" BACK/BACK STRUT 12GA 10' GOLD"
"4"" Rigid Strut Clamp - Gold",SUP,SUP7024,"GOLD 4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [25/BX]"
"3"" Rigid Strut Clamp - Gold",SUP,SUP7023,"GOLD 3"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
"2"" Rigid Strut Clamp - Gold",SUP,SUP7022,"GOLD 2"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
P2073A - Gold,SUP,SUPAP235SQ,GOLD SQUARE DOUBLE STRUT POST BASE W/ CHANNEL SQUARED TO THE PLATE
"1/2""x5"" Powers Wedge Anchor - Plated",POWERS,POWERS7424SD1,"POWER STUD+ 1/2"" X 5-1/2"" WEDGE ANCHOR [50/150]"
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1BULK,"HEX HEAD BOLT 1/2-13 X 1"" C/S CAP SCREW ZINC PLATED [600/KEG]"
"1/2"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3010EG,"1/2"" THICK STRUT SILVER NUT SPRINGLESS [100/BX]"
"1/2"" Cut Washer - Plated",CWA,CWA1/2USSZINCPKG,"CUT FLAT WASHER 1/2"" USS ZINC PLATED [WFB1008] [100/PK] [600/CS]"
"1/2"" Square Washer - Gold",UNISTRUT,UNISTRUTP1064ZD,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
Sil Foam,SEI,SEISILL55,"SILL SEAL 5-1/2"" X 50FT X 3/16"" ROLL SHELTERSEAL POLYETHYLENE FOAM"
"2"" 10mil Tape",SHURTAPE,SHURTAPE104779,"PW 100 BPT 10 MIL 2"" X 33.3YD PIPE CORROSION RESISTANT PVC PRINTED"
Duct Tape,SHURTAPE,SHURTAPE105454,"PC 609 SILVER 2"" X 60YD DUCK PRO GRADE 10 MIL DUCT TAPE [48MM X 55M]"
"3/4"" Rigid Strut Clamp - Gold",SUP,SUP7023/4,"GOLD 3/4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [100/BX]"
A1200 Gold - 10',SUP,SUPA120010GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 10' GOLD CHANNEL"
A1843 Gold,UNISTRUT,UNISTRUTP1546ZD,GOLD 2-HOLE 45 DEGREE OUTSIDE ANGLE FITTING BRACKET YELLOW ZINC
"1/2"" Square Washer  - Gold",SUP,SUPAB2411/2,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
P1873 Gold,SUP,SUPAB263,GOLD FLAT 5-HOLE CORNER GUSSET PLATE YELLOW ZINC FITTING [10/BX]
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1BULK,"HEX HEAD BOLT 1/2-13 X 1"" C/S CAP SCREW ZINC PLATED [600/KEG]"
"1/2""x5"" Powers Wedge Anchor - Plated",POWERS,POWERS7424SD1,"POWER STUD+ 1/2"" X 5-1/2"" WEDGE ANCHOR [50/150]"
"1/2"" Cut Washer - Plated",CWA,CWA1/2USSZINCPKG,"CUT FLAT WASHER 1/2"" USS ZINC PLATED [WFB1008] [100/PK] [600/CS]"
"1/2"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3010EG,"1/2"" THICK STRUT SILVER NUT SPRINGLESS [100/BX]"
"8"" Rigid Strut Clamp - Gold",SUP,SUP7028,"GOLD 8"" RIGID PIPE CLAMP STRUT TUBING STRAP   [10/BX]"
"6"" Rigid Strut Clamp - Gold",SUP,SUP7026,"GOLD 6"" RIGID PIPE CLAMP STRUT TUBING STRAP   [10/BX]"
"4"" Rigid Strut Clamp - Gold",SUP,SUP7024,"GOLD 4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [25/BX]"
6 inch ditto,ASC,05000260ZL,"260 6""  GALV ADJ CLEVIS HNGR"
6 same,ASC,05000260ZL,"260 6""  GALV ADJ CLEVIS HNGR"
A1200 HS gold,SUP,SUPA1200HS20GOLD,"HALF SLOT 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 20' YELLOW ZINC CHANNEL"
A1200 gold,SUP,SUPA120020GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 20' GOLD CHANNEL"
SUP702 - 3-1/2,SUP,SUP70231/2,"GOLD 3-1/2"" RIGID STRUT CLAMP 4"" OD FOR 3-1/2"" GRC CONDUIT"
SUPAB239-2,SUP,SUPAB2392,"GOLD ANGULAR FITTING KNEE BRACE 17"" LONG [10/BX]"
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1PKG,"HEX HEAD BOLT 1/2""-13 X 1"" C/S CAP SCREW ZINC PLATED [HZ28100]"
"1/2"" Strut Nut - Plated",SUP,SUPAB1001/2EG,"SILVER EG 1/2"" SPRINGLESS STRUT CHANNEL NUT ZINC PLATED [100/BX]"
3/8 nuts for above,NUT,NUT3/8ZINCPKG,"FINISH HEX NUT 3/8""-16 ZINC PLATED [FNC0060] [100/PK] [1800/CS]"
3/8 flat wash for above,CWA,CWA3/8USSZINCPKG,"CUT FLAT WASHER 3/8"" USS ZINC PLATED [WFB1006] [100/PK] [2400/CS]"
3X10 NO HUB PIP E,AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
1 1/2X20 L HARD COPPER,CAMBRIDGELEE INDUSTRIES,MUELLH14020CAMB,1 1/2X20 L HARD COPPER
2X20 L HARD COP PER,CAMBRIDGELEE INDUSTRIES,MUELLH20020CAMB,2X20 L HARD COPPER
3X20 L HARD COP PER,CAMBRIDGELEE INDUSTRIES,MUELLH30020CAMB,3X20 L HARD COPPER
3/4X20 L HARD C OPPER,CAMBRIDGELEE INDUSTRIES,MUELLH06020CAMB,3/4X20 L HARD COPPER
3/4 CXM ADAPT,ELKHART PRODUCTS CORP,25/BOXEPC10030330MUEL,3/4 CXM ADAPT
1 1/2 CXC CPLG EPC 10030914 MUEL W 10149,ELKHART PRODUCTS CORP,EPC10030914MUELW10149,1 1/2 CXC CPLG
3 REG NO HUB CP LG MIS C300C ANA 0008,ANACO,MISC300CANA0008,3 REG NO HUB CPLG
1 1/2 CXC 45 EPC 10031134 MUEL W 03055,ELKHART PRODUCTS CORP,EPC10031134MUELW03055,1 1/2 CXC 45
3 CXC 45 EPC 10031156 MUEL W 03067,ELKHART PRODUCTS CORP,EPC10031156MUELW03067,3 CXC 45
1 1/2 CXC 90 EPC 10031314 MUEL W 02085,ELKHART PRODUCTS CORP,EPC10031314MUELW02085,1 1/2 CXC 90
2 CXC 90 EPC 10031322 MUEL W 02086,ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
3 CXC 90 EPC 10031338 MUEL W 02088,ELKHART PRODUCTS CORP,EPC10031338MUELW02088,3 CXC 90
3/4 CXC 90 50/BOX EPC 10031288 MUEL WB01634,ELKHART PRODUCTS CORP,50/BOXEPC10031288MUEL,3/4 CXC 90
6 CXC 90 EL EPC 10031368 (1/BX) (1/CASE)  MUEL W 02097,ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
2 X 4 BRASS NIPPLE  SCI 4385013240,ASC ENGINEERED SOLUTIONS,SCI4385013240,2 X 4 BRASS NIPPLE
2X1 1/2X2 CXCXC TEE EPC 10032984 (5/BX) (40/CASE) MUEL W 40109,ELKHART PRODUCTS CORP,EPC10032984(5/BX)(40/CASE),2X1 1/2X2 CXCXC TEE
2X1 1/2X2 CXCXC TEE EPC 10032984 (5/BX) (40/CASE) MUEL W 40109,ELKHART PRODUCTS CORP,EPC10033020(5/BX)(40/CASE),2X3/4X2 CXCXC TEE
2X3/4X2 CXCXC T EEEPC 10033020 (5/BX) (40/CASE) MUEL W 40248,ELKHART PRODUCTS CORP,EPC10032984(5/BX)(40/CASE),2X1 1/2X2 CXCXC TEE
2X3/4X2 CXCXC T EEEPC 10033020 (5/BX) (40/CASE) MUEL W 40248,ELKHART PRODUCTS CORP,EPC10033020(5/BX)(40/CASE),2X3/4X2 CXCXC TEE
2X2X1/2 CXCXC T EE EPC 10032982 MUEL W 40107,ELKHART PRODUCTS CORP,EPC10032982MUELW40107,2X2X1/2 CXCXC TEE
3X2X3 CXCXC TEE EPC 10033162 (1/BX) (10/CASE) MUEL W 40167,ELKHART PRODUCTS CORP,EPC10033162(1/BX)(10/CASE),3X2X3 CXCXC TEE
3X2X3 CXCXC TEE EPC 10033162 (1/BX) (10/CASE) MUEL W 40167,ELKHART PRODUCTS CORP,EPC10033162(1/BX)(10/CASE),3X2X3 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
SP*00037334 3X3/4X3 CXCXC TEE EPC 10033232,ELKHART PRODUCTS CORP,3X3/4X3CXCXCTEE,SP*00037334
"3 CXC ADJ COMPA NION FLANGE 2PC 4 BOLT 150# EPC 10035828 CTS BF003, MUEL W 02802NL",ELKHART PRODUCTS CORP,2PC4BOLT150#EPC10035828,3 CXC ADJ COMPANION FLANGE
"SP*00037336 3""x7-1/2"" 150# FF O/S 1/8"" GARLOCK 98206 NSF61 EPDM GASKET",GASKET TECHNOLOGY INC,"3""X71/2""150#FFO/S1/8""",SP*00037336
"SP*00037337 3""X5-3/8"" 150# RING O/S 1/8""",GASKET TECHNOLOGY INC,"3""X53/8""150#RINGO/S1/8""",SP*00037337
2-3IN FLANGE BO LT KIT 4EA 5/8-11X3IN NUT & BOLT,VIKING BOLT INC,4EA5/811X3INNUT&BOLT,2-3IN FLANGE BOLT KIT
"SP*00037341 3"" 150# FLANGE ISO KIT NUNA-N FACED PHENOLIC GASKET W/ MYLAR SLEEVES & DOUBLE WASHERS",PUGET SOUND PIPE & SUPPLY PSP,"3""150#FLANGEISOKIT",SP*00037341
261 3 GALV RISER CLAMP 05000261ZH,ASC,05000261ZH,261  3    GALV RISER CLAMP
UPBA450 2 CXC BZ FP BALL VLV SWT 2PC LEAD FREE 0740UPBA4502,MILWAUKEE,0740UPBA4502,UPBA450 2 CXC BZ FP BALL VLV
UPBA-150 3/4 BZ 600 2PC SDR LL UPBA150/UPBA450 FULL PORT 0719UPBA150AB,MILWAUKEE,0719UPBA150AB,UPBA-150 3/4 BZ 600 2PC SDR LL
UPBA150H 3/4 SWTXHOSE BALL VLV 0740UPBA150HA34,MILWAUKEE,0740UPBA150HA34,UPBA150H 3/4 SWTXHOSE BALL VLV
ML233E 3 BFLY VLV BRZ DDE 0740ML233EDL,MILWAUKEE,0740ML233EDL,ML233E 3 BFLY VLV BRZ DDE
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1PKG,"HEX HEAD BOLT 1/2""-13 X 1"" C/S CAP SCREW ZINC PLATED [HZ28100]"
"1/2"" Thick Strut Nut - Plated",UNISTRUT,UNISTRUTP3010EG,"1/2"" THICK STRUT SILVER NUT SPRINGLESS [100/BX]"
A208 Gold,SUP,SUPA208,GOLD 4-HOLE U-SHAPED CHANNEL JOINER ZD GALVANIZED STRUT FITTING
AB206 Gold,UNISTRUT,UNISTRUTP1065ZD,"GOLD 2-HOLE 1-5/8"" X 3-1/2"" FLAT SPLICE FITTING YELLOW ZINC [50/BX]"
A1200-20 solid gold,SUP,SUPA120020GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 20' GOLD CHANNEL"
strut caps,ERICO,ERICOADK421RD,"END CAP PROFILE END CAP FITS 13/16"" OR 1-5/8"" STRUT CHANNEL 41X41MM X 2"
3 nhci P-trap w 1/2 tap,AB&I FOUNDRY,AB&I08532,3 NO HUB TAPPED P-TRAP
Neon Green Survey Whisker (25 per pkg),SURVEY,SURVEYWHISKERSGREEN,25 PER BUNDLE  SCPM6 STAKE CHASERS [ MWG6 ]
Aluminum Survey Whisker Ground Stake,GRIPRITE,GRIPRITE60C,"60D NAIL COMMON 6"" BRIGHT SHANK [48CTN/PALLET] [50LB. BOX]"
6 inch fenco,FERNCO INC,FERN105666MISMR5666PASCO,6 FLEXIBLE CPLG
4 inch by 18inch cheme test with extensions,OATEY SCS,CHERNE271047,4IN LONG TEST-BALL PLUG
